1	0	1
3	0	1
4	0	1
5	0	1
12	0	1
15	0	1
0	1	1
2	1	1
5	1	1
6	1	1
12	1	1
13	1	1
1	2	1
3	2	1
6	2	1
7	2	1
13	2	1
14	2	1
0	3	1
2	3	1
4	3	1
7	3	1
14	3	1
15	3	1
0	4	1
3	4	1
5	4	1
7	4	1
8	4	1
9	4	1
0	5	1
1	5	1
4	5	1
6	5	1
9	5	1
10	5	1
1	6	1
2	6	1
5	6	1
7	6	1
10	6	1
11	6	1
2	7	1
3	7	1
4	7	1
6	7	1
8	7	1
11	7	1
4	8	1
7	8	1
9	8	1
11	8	1
12	8	1
13	8	1
4	9	1
5	9	1
8	9	1
10	9	1
13	9	1
14	9	1
5	10	1
6	10	1
9	10	1
11	10	1
14	10	1
15	10	1
6	11	1
7	11	1
8	11	1
10	11	1
12	11	1
15	11	1
0	12	1
1	12	1
8	12	1
11	12	1
13	12	1
15	12	1
1	13	1
2	13	1
8	13	1
9	13	1
12	13	1
14	13	1
2	14	1
3	14	1
9	14	1
10	14	1
13	14	1
15	14	1
0	15	1
3	15	1
10	15	1
11	15	1
12	15	1
14	15	1
17	16	1
18	16	1
19	16	1
20	16	1
16	17	1
18	17	1
19	17	1
20	17	1
16	18	1
17	18	1
19	18	1
20	18	1
16	19	1
17	19	1
18	19	1
20	19	1
16	20	1
17	20	1
18	20	1
19	20	1
